about_project,address,benefits,city,contract_type,development_opportunities,employer,expected_requirements,expected_technologies,expiration_date,job_title,max_salary,min_salary,optional_requirements,optional_technologies,position_level,price_unit,responsibilities,scraping_datetime,source,specialization,url,what_they_offer,work_mode,work_schedule,clickable_job_title
None,None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'remote work opportunities', 'flexible working time', 'fruits', 'corporate products and services at discounted prices', 'integration events', 'dental care', 'retirement pension plan', 'coffee / tea', 'drinks', 'parking space for employees', 'extra social benefits', 'sharing the costs of tickets to the movies, theater', 'birthday celebration', 'charity initiatives']","Warszawa, Masovian",employment,[],PANDORA Jewelry Shared Services Sp. z o.o.,"['3-5 years of experience in the field of accounting', 'Preferably Bachelor’s/Master’s degree in business, finance or similar', 'Fluent in English (both written and verbal)', 'Strong transformation and change management experience', 'Project work experience', 'Positive attitude towards the change and highly innovative with improvement focus', 'Working knowledge of SAP system and proficiency with Microsoft Office', 'Problem-solving and analytical skills with attention to detail', 'Excellent communication skills', 'Ability to manage several initiatives and tasks simultaneously', 'Strong team player']",[],11-04-2024,OTC Senior Accounting Specialist - Cash&Credit Management,None,None,[],[],senior specialist (Senior),None,"['Coordinate data clean up efforts to prepare for SAP S/4HANA implementation.', 'Apply subject expertise in evaluating business operations and processes to improve current “as is” state prior to SAP S/4HANA implementation', 'Assist with training of SAP S/4HANA system end-users', 'Ensure/Support successful OTC processes transition from Microsoft Dynamics AX to SAP S/4HANA', 'Provide team members support and troubleshooting for issues related to SAP S/4HANA system', 'Be first point of contact for ERP Subject Matter Experts', 'Handle incoming wholesales receipts', 'Settle customers account transactions, analyze overdue invoices and report to Collections Specialists', 'Allocate & reconcile payments by cash and credit cards with retail sales – Retail + E-commerce', 'Analyze unsettled retail transactions and report to LO', 'Post manual journals and ensure supporting documentation.', 'Involve in OTC period end reconciliation and prepare monthly retail reporting package', 'Perform internal audit controls and assist with external audit tasks', 'Conduct a review of existing practices and standards within operations', 'Solve complex accounting transactions', 'Run reports and some additional projects, meetings, presentations', 'Be first point of contact for team queries as well as support for OTC Team Leader in all tasks except of HR related', 'Develop, validate and revise work instructions for processes within the department']",27/03/2024 18:13:53,pracuj.pl,None,"https://www.pracuj.pl/praca/otc-senior-accounting-specialist-cash-credit-management-warszawa-domaniewska-28,oferta,1003210934","['Cooperation based on an employment contract with a basic salary and a real achievable annual bonus', 'Hybrid work model', 'Free parking for employees regardless of position (reservation required)', 'Flexible working hours (7am/10am - 3pm/18pm)', 'Support for professional competence development (including Linkedin learning platform, co-financing of the cost of exams, courses and ACCA membership)', 'PREMIUM package of Medicover medical care ncluding dental package', 'Generali life insurance', 'Multisport card and cafeteria program on the MyBenefit platform', 'Additional days off e.g. for birthdays, health check', 'Very attractive discounts on PANDORA products', 'Subsidy for ""home office"" equipment', 'Employee Pension Plans (PPE)', ""Additional benefits under the company's social fund (e.g., holiday or kindergarten subsidies)"", 'Employee Recommendation Program']",hybrid work,full-time,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/otc-senior-accounting-specialist-cash-credit-management-warszawa-domaniewska-28,oferta,1003210934"">OTC Senior Accounting Specialist - Cash&Credit Management</a>"
None,None,[],"Warszawa, mazowieckie","employment, B2B",[],Samsung Electronics Polska,"['Doskonała biegła znajomość języka angielskiego (w mowie i piśmie)', 'Wykształcenie średnie techniczne lub ekwiwalent w zawodzie', 'Biegłość w konfigurowaniu i używaniu systemu Windows', 'Biegłość w konfigurowaniu i zrozumieniu podstawowego środowiska sieciowego TCP/IP', 'Analityczny sposób myślenia i dobry zmysł organizowania własnej pracy', 'Doskonałe umiejętności manualne']",[],10-04-2024,Samsung Display Showroom Manger,None,None,"['Znajomość technologii klient-serwer: HAProxy, Tomcat, Node.js,', 'Znajomość baz danych: PostgreSQL,', 'Znajomość chmury: Microsoft Azure, AWS', 'Znajomość telewizorów hotelowych, monitorów LCD, wyświetlaczy LED i wielkoformatowych oraz technologii AV', 'Znajomość systemu operacyjnego Linux']","['HAProxy', 'Tomcat', 'Node.js', 'PostgreSQL', 'Microsoft Azure', 'AWS']",menedżer,None,"['Obsługa Techniczna/Serwisowa Showroomu B2B Display (Postępu 14, 02-676 Warszawa)', 'Pomoc w przygotowaniu Showroom do planowanych prezentacji sprzedażowych (ewentualne przepinanie i przestawianie urządzeń, uruchamianie wyświetlania prezentacji)', 'Wgrywanie treści na potrzeby prezentacji dla Klientów', 'Przywracanie stanu wyjściowego po prezentacji – uruchamianie wyświetleń i funkcjonalności zgodnie z wcześniej obowiązującym harmonogramem', 'Demontaż uszkodzonych urządzeń systemu audiowizualnego', 'Koordynacja naprawy serwisowej uszkodzonych elementów systemu audiowizualnego', 'Ponowny montaż naprawionych elementów systemu audiowizualnego', 'Zapewnienie prawidłowego działania serwerów, oprogramowania Digital Signage, HTV oraz systemu centralnego sterowania. W przypadku wprowadzenia zmian konfiguracji w systemach video (Monitory, HTV) lub systemie centralnego sterowania przez pracowników Samsung lub osoby trzecie.', 'Testowanie nowego oprogramowania Samsung (Visual Display) wg instrukcji dedykowanego pracownika zespołu Pre-sales', 'Wdrażanie, testy i upgrade oprogramowania, tak aby showroom działał na aktualnym oprogramowaniu', 'Wspieranie innych prac związanych z Pre-sales wg instrukcji dedykowanego pracownika zespołu Pre-sales', 'Ewidencja i rozliczanie w kalendarzu showroom realizowanych wydarzeń']",27/03/2024 18:13:54,pracuj.pl,IT admin,"https://www.pracuj.pl/praca/samsung-display-showroom-manger-warszawa-postepu-14,oferta,1003208252","['Innowacyjne i inspirujące środowisko pracy: W RK-Technology.pl stawiamy na rozwój i innowacje. Oferujemy pracownikom możliwość pracy w dynamicznym środowisku, gdzie są wspierani w realizacji swoich pomysłów i projektów.', 'Rozwój zawodowy: Jako firma RK-Technology.pl zależy nam na rozwoju naszych pracowników. Oferujemy szkolenia, kursy oraz wsparcie w zdobywaniu nowych umiejętności i kwalifikacji zawodowych.', 'Współpraca z profesjonalistami. Oferujemy pracownikom możliwość współpracy z najlepszymi w swojej branży oraz zdobywania cennego doświadczenia.', 'Przyjazna atmosfera pracy: Nasza firma promuje atmosferę otwartości, współpracy i szacunku. Dbamy o dobre relacje między pracownikami oraz zapewniamy wsparcie w rozwiązywaniu problemów i wyzwań zawodowych.', 'Współpraca na podstawie kontraktu B2B lub umowy o pracę']",praca hybrydowa,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/samsung-display-showroom-manger-warszawa-postepu-14,oferta,1003208252"">Samsung Display Showroom Manger</a>"
None,None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'corporate products and services at discounted prices', 'integration events']","Warszawa, mazowieckie",employment,[],Polkomtel Sp. z o.o.,"['Doświadczenie w pracy Call Center/ Obsługa Klienta;', 'Umiejętność nawiązywania relacji partnerskich z Klientem;', 'Komunikatywna znajomość języka angielskiego w mowie i piśmie;', 'Bardzo dobra znajomość obsługi komputera;', 'Umiejętność pracy w zespole;', 'Umiejętność koncentracji i pracy w godzinach nocnych w związku ze zmianowym trybem pracy;', 'Umiejętność pracy w sytuacjach stresowych (duża ilość informacji w krótkim przedziale czasu);']",[],26-04-2024,Specjalista ds. Serwisu Technicznego dla Biznesu,None,None,"['Wykształcenie techniczne, studenci kierunków (telekomunikacja, elektronika, informatyka lub pokrewnych).']",[],"specjalista (Mid / Regular), młodszy specjalista (Junior)",None,"['Telefoniczna i mailowa obsługa awarii najważniejszych/ największych Klientów Grupy Polsat (problemy techniczne/ awarie);', 'Praca w trybie zmianowym;', 'Analiza zgłaszanych awarii;', 'Stałe monitorowanie zarejestrowanych zgłoszeń oraz informowanie Klienta o statusie zgłaszanej awarii;', 'Uruchamianie interwencji na wezwanie Klienta;', 'Całodobowy monitoring usług;', 'Kontakty z Działem Technicznym/Działem IT oraz innymi komórkami w grupie;', 'Kontakty zewnętrzne z partnerami krajowymi i zagranicznymi;', 'Uczestniczenie w procesie przeprowadzania planowanych prac na elementach sieci telekomunikacyjnej, koordynacja działań poszczególnych ekip wykonawczych w trakcie realizacji prac na obiektach, informowanie Klientów/ Partnerów o pracach;', 'Zgłaszanie sugestii i udział we wdrażaniu nowych rozwiązań mających ulepszyć pracę zespołu.']",27/03/2024 18:13:54,pracuj.pl,Helpdesk,"https://www.pracuj.pl/praca/specjalista-ds-serwisu-technicznego-dla-biznesu-warszawa-konstruktorska-4,oferta,1003242292","['Pracę na odpowiedzialnym stanowisku w największej Grupie Kapitałowej w kraju;', 'Dobrą atmosferę i przyjazne środowisko pracy;', 'Zdobywanie wiedzy oraz cenne doświadczenie;', 'Pakiet benefitów (MultiSport, opieka medyczna, ubezpieczenie na życie, oferty pracownicze).']",praca stacjonarna,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/specjalista-ds-serwisu-technicznego-dla-biznesu-warszawa-konstruktorska-4,oferta,1003242292"">Specjalista ds. Serwisu Technicznego dla Biznesu</a>"
Tworzymy międzynarodowy zespół który będzie odpowiedzialny za stworzenie narzędzia dla Klientów B2B wykorzystywanego przez wszystkie kraje grupy Deutsche Telekom.,None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of professional training & courses', 'life insurance', 'remote work opportunities', 'flexible working time', 'corporate products and services at discounted prices', 'mobile phone available for private use', 'no dress code', 'parking space for employees', 'employee referral program', 'charity initiatives']","Warszawa, mazowieckie",B2B,[],T-Mobile,"['Minimum 3 letnie doświadczenie w analizie procesów biznesowych (doświadczenie w samodzielnej analizie, dokumentowaniu wymagań, i procesów), doświadczenie w branży IT', 'Umiejętność tworzenia architektury procesów, ich wzajemnych powiązań i zależności pomiędzy nimi', 'Doświadczenie w projektowaniu systemu przeznaczonego dla dużej bazy Klientów', 'Umiejętność zastosowania w praktyce notacji BPMN (znajomość UML będzie pomocna w codziennej pracy - diagramy sekwencji)', 'Umiejętność przekładania wymagań biznesowych na wymagania techniczne / systemowe', 'Znajomość języka angielskiego na poziomie swobodnej komunikacji w projekcie międzynarodowym i tworzenia dokumentacji (B2+)', 'Umiejętność zorganizowania pracy własnej, i zespołów rozproszonych w różnych krajach', 'Wysoki poziom odpowiedzialności za wytworzone produkt pracy', 'Zagadnienia integracyjne oraz umiejętność projektowania rozwiązań w oparciu o usługi REST / HAL']",[],11-04-2024,Business Analyst,None,None,[],[],specjalista (Mid / Regular),None,"['Zbieranie, tworzenie i analiza wymagań, tworzenie User Story, warsztaty z przedstawicielami krajów przystępujacych do projektu w celu rozpoznania ich potrzeb', 'Współpraca z właścicielami produktów aby zapewnić ich obsługę w powstającym systemie', 'Budowanie standardów rozwiązań i procesów które powinny być łatwo wdrażane w kolejnych krajach', 'Modelowanie i analiza procesów biznesowych z wykorzystaniem notacji BPMN', 'Tworzenie Backlog i dbanie o aktualność i postęp realizacji stworzonych zadań', 'Regularna współpraca z developerami i architektami technicznymi w celu potwierdzania wykonalności wymagań biznesowych', 'Odbiór / pokrycie testami zleconych do realizacji prac i walidacja poprawności biznesowej zaimplementowanych zmian', 'Dokumentacja funkcji systemu']",27/03/2024 18:13:55,pracuj.pl,Business analytics,"https://www.pracuj.pl/praca/business-analyst-warszawa-marynarska-12,oferta,1003210945","['Współpraca w oparciu o umowę direct B2B', 'Pakiet medyczny, sportowy i ubezpieczenie na życie na preferencyjnych warunkach', 'Dostęp do platformy szkoleniowej RoDoS', ""Brak dress code'u - u nas możesz być sobą"", 'Znam Talent – szkolenia lub pieniądze za polecenie znajomych do pracy 😊!', 'Poza tym możesz u nas liczyć na dostęp do naszych produktów i usług na preferencyjnych warunkach']",praca hybrydowa,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/business-analyst-warszawa-marynarska-12,oferta,1003210945"">Business Analyst</a>"
None,Kraków,"['sharing the costs of sports activities', 'private medical care', 'life insurance', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'coffee / tea', 'drinks', 'leisure zone', 'extra social benefits', 'pre-paid cards', 'sharing the costs of tickets to the movies, theater', 'employee referral program', 'charity initiatives', 'extra leave']","Kraków, Lesser Poland",employment,[],AMS,[],"['ISO 27001', 'CIS controls', 'GDPR', 'CISSP', 'CISM', 'ISACA']",04-04-2024,Information Security Manager (m/f/d),None,None,[],[],manager / supervisor,None,[],27/03/2024 18:13:56,pracuj.pl,None,"https://www.pracuj.pl/praca/information-security-manager-m-f-d-krakow,oferta,1003193448",[],"home office work, hybrid work",full-time,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/information-security-manager-m-f-d-krakow,oferta,1003193448"">Information Security Manager (m/f/d)</a>"
"As a Junior UniFlow Configuration Specialist, you will be working for our client, one of the leaders in online banking, contributing to the design, optimization, and configuration of processes on the BPMS platform - UniFlow. Your primary responsibility will involve coding printouts (XSLT, XML) in accordance with SDLC.",Łódź,"['sharing the costs of sports activities', 'private medical care', 'remote work opportunities', 'flexible working time', 'fruits', 'integration events', 'video games at work', 'coffee / tea', 'drinks', 'leisure zone', 'sharing the costs of tourist services', 'sharing the costs of tickets to the movies, theater', 'access to +100 projects', 'access to Pluralsight']","Łódź, Łódź","employment, B2B",[],ITDS Polska Sp. z o.o.,"['Proficiency in at least one programming language', 'Familiarity with BPMN, UML notations', 'Practical knowledge of CSS and HTML', 'Analytical and logical thinking skills', 'Ability to work collaboratively in a team', 'Optimization capabilities', 'Creativity and dedication', 'Strong communication and assertiveness skills', 'English proficiency for effective communication']","['BPMN', 'UML', 'HTML', 'CSS']",20-04-2024,Junior UniFlow Configuration Specialist,None,None,"['Familiarity with Ferryt, Camunda, or similar BPMS platforms', 'Practical knowledge of XML, XSLT, SQL', 'Understanding of UI/UX, Design Thinking', 'Knowledge of SCRUM methodologies', 'Familiarity with SPLUNK, JIRA', 'Understanding of banking products (accounts, loans for individuals and businesses)']","['Ferryt', 'Camunda', 'SQL', 'Splunk', 'Jira', 'BPMS']",junior specialist (Junior),None,"['Designing, optimizing, and configuring processes on the UniFlow platform', 'Coding printouts (XSLT, XML) following SDLC principles', 'Troubleshooting and resolving technical issues related to UniFlow configuration', 'Documenting processes, configurations, and troubleshooting steps for future reference']",27/03/2024 18:13:56,pracuj.pl,None,"https://www.pracuj.pl/praca/junior-uniflow-configuration-specialist-lodz,oferta,1003230774","['ITDS Business Consultants is involved in many various, innovative and professional IT projects for international companies in the financial industry in Europe. We offer an environment for professional, ambitious, and driven people. The offer includes:', 'Stable and long-term cooperation with very good conditions', 'Enhance your skills and develop your expertise in the financial industry', 'Work on the most strategic projects available in the market', 'Define your career roadmap and develop yourself in the best and fastest possible way by delivering strategic projects for different clients of ITDS over several years', 'Participate in Social Events, training, and work in an international environment', 'Access to attractive Medical Package', 'Access to Multisport Program']",hybrid work,full-time,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/junior-uniflow-configuration-specialist-lodz,oferta,1003230774"">Junior UniFlow Configuration Specialist</a>"
None,None,[],"Gdańsk, pomorskie",employment,[],OSTOYA-DataSystem,"['Wykształcenie minimum średnie kierunkowe', 'Doświadczenie w administracji system operacyjnym Linux (w tym skrypty bash)', 'Znajomość SQL i min. jednego systemu zarządzania relacyjną bazą danych na platformę Linux', 'Dobra znajomość języka angielskiego, umożliwiająca swobodne korzystanie z dokumentacji', 'Znajomość zagadnień sieciowych', 'Dyspozycyjność (wyjazdy służbowe do 20% czasu miesięcznie)', 'Prawo jazdy kategorii B', 'Komunikatywność (kontakt z klientami bez doświadczenia z zakresu IT)', 'Niekaralność']","['Linux', 'SQL', 'Bash']",26-04-2024,Junior Administrator Linux,None,None,"['Wykształcenie wyższe kierunkowe lub w trakcie studiów', 'Znajomość PostgreSQL lub chęć nauki', 'Znajomość PHP lub chęć nauki', 'Znajomość Python lub chęć nauki', 'Znajomość C/C++ lub chęć nauki', 'Znajomość środowiska Qt lub chęć nauki', 'Znajomość systemu Zabbix lub chęć nauki', 'Znajomość platformy Ansible lub chęć nauki', 'Znajomość zagadnień związanych z transmisją strumieni multimedialnych lub chęć nauki']",[],młodszy specjalista (Junior),None,"['Udział w pracach wdrożeniowych: instalacja, konfiguracja, utrzymanie serwerów i stacji roboczych systemu ZEW.SMS, wsparcie eksploatacyjne użytkowników (60% czasu)', 'Udział w pracach rozwojowych systemu ZEW.SMS (40% czasu)']",27/03/2024 18:13:57,pracuj.pl,None,"https://www.pracuj.pl/praca/junior-administrator-linux-gdansk-kartuska-462,oferta,1003242498","['Pracę w firmie o ugruntowanej pozycji na rynku w ciekawych, dużych projektach z zakresu bezpieczeństwa infrastruktur krytycznych', 'Wynagrodzenie adekwatne do posiadanych umiejętności', 'Udział w planowaniu własnej ścieżki rozwoju', 'Udział w szkoleniach specjalistycznych', 'Pracę w zgranym zespole specjalistów', 'Karta Multisport', 'Prywatne ubezpieczenie zdrowotne i na życie', 'Dodatek delegacyjny', 'Premie projektowe']",praca stacjonarna,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/junior-administrator-linux-gdansk-kartuska-462,oferta,1003242498"">Junior Administrator Linux</a>"
None,None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'flexible working time', 'integration events', 'corporate sports team', 'retirement pension plan', 'no dress code', 'coffee / tea', 'holiday funds', 'employee referral program', 'extra leave', 'bike parking', 'Pies w biurze? Zapraszamy!', 'dodatkowy dzień urlopu z okazji urodzin pracownika']","Warszawa, mazowieckie",employment,"['branżowe platformy e-learningowe', 'czas na rozwój Twoich pomysłów', 'konferencje w Polsce', 'przestrzeń do eksperymentowania', 'szkolenia wewnątrzfirmowe', 'szkolenia zewnętrzne', 'wsparcie merytoryczne od liderów technologicznych', 'wymiana wiedzy technicznej w firmie']",APLIKACJE KRYTYCZNE sp. z o.o.,"['Minimum 2 lata doświadczenia w roli Release Manager / Test Manager / Quality Assurance Manager;', 'Umiejętność zarządzania priorytetami i koordynacji pracy multidyscyplinarnych zespołów;', 'Umiejętności analityczne;', 'Znajomość cyklu produkcji oprogramowania i zarządzania wersjami;', 'Znajomość metodologii zarządzania zmianą;', 'Umiejętność zarządzania zespołem;', 'Znajomość metodologii ITIL.']",[],19-04-2024,Specjalista ds. Zarządzania Wydaniem w Systemach IT,17000,11000,"['Znajomość praktyk DevOps;', 'Doświadczenie w zakresie Quality Management;', 'Znajomość technologii z rodziny Windows, Linux, MS SQL.']","['Linux', 'Microsoft SQL Server']",specjalista (Mid / Regular),gross / mth.,"['Tworzenie i wdrażanie standardów w zakresie Release Management;', 'Ustalanie kalendarza wprowadzenia zmian;', 'Nadzorowanie przekazania systemu do produkcji, utrzymania i eksploatacji;', 'Analiza wpływu zmiany na środowisko produkcyjne;', 'Kompletowanie i weryfikacja dokumentacji projektów, checklist konfiguracyjnych dla wdrożeń;', 'Określanie i utrzymywanie harmonogramów i zadań wymaganych do realizacji wdrożenia;', 'Koordynacja wdrożenia, w tym przejścia przez kolejne środowiska produktów/projektów.']",27/03/2024 18:13:58,pracuj.pl,"Product Management, Project Management","https://www.pracuj.pl/praca/specjalista-ds-zarzadzania-wydaniem-w-systemach-it-warszawa-chmielna-132-134,oferta,1003228125",[],"praca zdalna, praca hybrydowa",pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/specjalista-ds-zarzadzania-wydaniem-w-systemach-it-warszawa-chmielna-132-134,oferta,1003228125"">Specjalista ds. Zarządzania Wydaniem w Systemach IT</a>"
Miejsce pracy: zdalnie (sporadyczne wizyty w biurze w Warszawie),None,"['sharing the costs of sports activities', 'private medical care', 'Pakiet opieki księgowej (do 3 wpisów miesięcznie)']","Warszawa, mazowieckie",B2B,[],ITFS sp. z o.o.,"['Ponad 5 lat doświadczenia w analizie biznesowej lub systemach biznesowych', 'Umiejętność dokumentowania wymagań i wyników projektu przy użyciu notacji UML w Sparx Enterprise Architect', 'Doświadczenie z językiem programowania SQL, relacyjnymi i wielowymiarowymi modelami danych oraz bazami danych (preferowany Oracle)', 'Doświadczenie w budowaniu źródeł danych i raportów Tableau', 'Zrozumienie procesów biznesowych, analizowania danych i łączenia ich w celu wyciągania wniosków i definiowania wymagań projektu dla zespołu deweloperskiego', 'Możliwość proaktywnej pracy z interesariuszami biznesowymi w celu prowadzenia analizy wymagań i sesji UAT', 'Bardzo dobre umiejętności komunikacyjne (interakcja z zainteresowanymi stronami w celu udoskonalenia wymagań)', 'Dobre umiejętności rozwiązywania problemów', 'Umiejętność pracy nad wieloma złożonymi projektami jednocześnie', 'Otwartość na pracę zespołową, proaktywna postawa oraz możliwość szybkiego uczenia się nowych narzędzi i technologii', 'Znajomość języka angielskiego min B2/C1']","['UML', 'Sparx Enterpise Architect', 'SQL', 'Tableau', 'UAT']",26-04-2024,BI Business Systems Analyst,18400,16000,"['Doświadczenie z SAP i SAP BW', 'Doświadczenie w pracy z metodami Agile, preferowany Scrum Framework', 'Znajomość narzędzi do zarządzania projektami, bazy wiedzy i współpracy: Jira, Confluence, MS Sharepoint i Teams']","['SAP', 'SAP BW', 'Jira', 'Confluence', 'MS Sharepont', 'Teams']","specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Współpraca bezpośrednio z interesariuszami (działami Rynku i Ryzyka Kredytowego), BI Project Managerem oraz Product Ownerem, aby zrozumieć potrzeby i procesy biznesowe, gromadzenie danych, przetwarzanie danych oraz wymagania dotyczące modelowania', 'Analiza danych w oparciu o zapytania SQL w celu potwierdzenia wymagań biznesowych', 'Wsparcie Zespół Rozwoju BI Scrum poprzez dokumentowanie wymagań i pomoc w konceptualizacji rozwiązań BI wychodzących naprzeciw biznesowi', 'Współpraca z innymi zespołami w celu koordynacji działań w zakresie przygotowania danych i procesów przesyłania danych', 'Tworzenie interaktywnych raportów Business Intelligence', 'Weryfikacja dostarczonych rozwiązań poprzez tworzenie przypadków testowych, testowanie zapytań SQL i testowanie raportów BI', 'Zapewnienie wsparcia dla użytkowników hurtowni danych i raportów BI']",27/03/2024 18:13:59,pracuj.pl,None,"https://www.pracuj.pl/praca/bi-business-systems-analyst-warszawa-aleje-jerozolimskie-125,oferta,1003242310",[],praca zdalna,pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/bi-business-systems-analyst-warszawa-aleje-jerozolimskie-125,oferta,1003242310"">BI Business Systems Analyst</a>"
None,Warszawa,"['sharing the costs of sports activities', 'private medical care', 'life insurance', 'remote work opportunities']","Warszawa, mazowieckie","employment, B2B","['czas na rozwój Twoich pomysłów', 'mentoring', 'przestrzeń do eksperymentowania', 'szkolenia wewnątrzfirmowe', 'szkolenia zewnętrzne', 'wymiana wiedzy technicznej w firmie']",TALENT FLOW Sp. z o.o.,"['Doświadczenie w zakresie wdrożeń (systemów lub aplikacji)', 'Znajomość SQL', 'Biegła znajomość języka angielskiego (znajomość niemieckiego będzie bardzo dużym atutem)', 'Doświadczenie w zarządzaniu projektami, znajomość metodologii zarządzania projektami bardzo mile widziane (preferowany Agile)', 'Umiejętność ustalania priorytetów, asertywność, wysoka komunikatywność', 'Proaktywna postawa, inicjowanie zmian']",['SQL'],10-04-2024,Koordynator ds. Wdrożeń ERP,15000,10000,[],[],"specjalista (Mid / Regular), starszy specjalista (Senior)",gross / mth.,"['Ścisła współpraca w grupach projektowych (w tym międzynarodowych) związanych z wdrożeniami systemów i aplikacji w organizacji', 'Zbieranie i analiza wymagań biznesowych od poszczególnych kategorii biznesowych', 'Przygotowywanie specyfikacji wymagań, w tym przekładanie wymagań na specyfikację funkcjonalną i techniczną', 'Tworzenie i aktualizacja niezbędnych harmonogramów, raportów i dokumentacji technicznej', 'Projektowanie i optymalizacja procesów biznesowych', 'Analiza i rozwiązywanie problemów związanych z obsługą systemów', 'Konfigurowanie systemów i aplikacji pod potrzeby procesowe organizacji', 'Wsparcie merytoryczne dla zespołu, szkolenie końcowych użytkowników']",27/03/2024 18:14:00,pracuj.pl,"Project Management, SAP&ERP","https://www.pracuj.pl/praca/koordynator-ds-wdrozen-erp-warszawa,oferta,1003210969","['Możliwa praca o charakterze stacjonarnym/hybrydowym/zdalnym (zgodnie z preferencją) w jednej ze spółek międzynarodowej i stabilnej organizacji', 'Stała, długofalowa współpraca (liczne wdrożenia)', 'Możliwość zatrudnienia na umowę o pracę lub B2B', 'Pakiet benefitów (opieka medyczna, karta benefit, ubezpieczenie na życie)', 'Raportowanie bezpośrednio do Zarządu', 'Sprawny proces rekrutacyjny']","praca stacjonarna, praca zdalna, praca hybrydowa",pełny etat,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/koordynator-ds-wdrozen-erp-warszawa,oferta,1003210969"">Koordynator ds. Wdrożeń ERP</a>"
"Project Manager is accountable for delivery of projects realized by Viessmann R&D Center with a strong focus on quality and deliverables provided on time with agreed scope. Area of project responsibility is focused on the IoT, M2M, Mobile App or embedded technologies. Additionally, a commercial mindset is required with strong personal accountability for providing end-to-end project delivery.",None,"['sharing the costs of sports activities', 'private medical care', 'sharing the costs of foreign language classes', 'sharing the costs of professional training & courses', 'life insurance', 'parking space for employees', 'charity initiatives', 'dofinansowanie do posiłków z wielu restauracji (SmartLunch)', 'dostęp do platformy MyBenefit']","Wrocław, Lower Silesia","employment, B2B",[],R&D Viessmann Climate Solutions PL,"['Minimum 4 years of experience as a project leader (PM, PO, SM, etc.) in the area of IoT/M2M, Mobile app or embedded systems.', 'Experience with software delivery governance, particularly around implementation to production.', 'Team player with the ability to work with several projects simultaneously.', 'Communication skills and the ability to handle complex technical requirements.', '“Can do” spirit with strong “getting things done” attitude.', 'Strong business acumen and entrepreneurship.', 'Ability to plan and organize workload.', 'Project management certification is a plus (e.g. PMI, Prince2, IPMA, etc.).', 'Fluent in English, German language will be considered as a plus.']",[],26-04-2024,Project Manager,None,None,[],[],"manager / supervisor, team manager",None,"['End2End Project Management (initiating, planning, executing, monitoring and closing).', 'Maintaining excellent relationships with project stakeholders.', 'Promoting an Agile way of working and supporting a culture of continuous improvement.', 'Managing the project budget, risk, scope and timeline.', 'Fully responsible for the successful project delivery and weekly status reports on milestones and key issues.', 'Managing projects ensuring good profitability by efficient cost controlling and resource management.', 'Aligned with other project managers and team leads to ensure consistency of processes, deliverables and critical issues.']",27/03/2024 18:14:00,pracuj.pl,Project Management,"https://www.pracuj.pl/praca/project-manager-wroclaw-dunska-9,oferta,1003242317",[],hybrid work,full-time,"<a target=""_blank"" href=""https://www.pracuj.pl/praca/project-manager-wroclaw-dunska-9,oferta,1003242317"">Project Manager</a>"
